LabVIEW Measurement	
Writer_Version	2
Reader_Version	2
Separator	Tab
Decimal_Separator	.
Multi_Headings	Yes
X_Columns	One
Time_Pref	Absolute
Operator	Microsoft
Date	2023/11/24
Time	16:46:27.6817073822021484375
***End_of_Header***	
	
Channels	1	
Samples	100000	
Date	2023/11/24	
Time	16:46:27.6817073822021484375	
X_Dimension	Time	
X0	0.0000000000000000E+0	
Delta_X	1.000000	
***End_of_Header***		
X_Value	Untitled	Comment
296.000000	0.123692
297.000000	0.120632
298.000000	0.115962
299.000000	0.114513
300.000000	0.112097
301.000000	0.109359
302.000000	0.106299
303.000000	0.102917
304.000000	0.098569
305.000000	0.098408
306.000000	0.095187
307.000000	0.091966
308.000000	0.089711
309.000000	0.086813
310.000000	0.083753
311.000000	0.081176
312.000000	0.077955
313.000000	0.075861
314.000000	0.071674
315.000000	0.067970
316.000000	0.067004
317.000000	0.063944
318.000000	0.060884
319.000000	0.058790
320.000000	0.056536
321.000000	0.052510
322.000000	0.049128
323.000000	0.046390
324.000000	0.045263
325.000000	0.041881
326.000000	0.038176
327.000000	0.035439
328.000000	0.032540
329.000000	0.028836
330.000000	0.027386
331.000000	0.023521
332.000000	0.020139
333.000000	0.017079
334.000000	0.015147
335.000000	0.011443
336.000000	0.009832
337.000000	0.006933
338.000000	0.003390
339.000000	0.000814
340.000000	-0.001280
341.000000	-0.005950
342.000000	-0.008044
343.000000	-0.011426
344.000000	-0.014969
345.000000	-0.015613
346.000000	-0.018512
347.000000	-0.022216
348.000000	-0.023988
349.000000	-0.028175
350.000000	-0.031074
351.000000	-0.032845
352.000000	-0.036871
353.000000	-0.039770
354.000000	-0.041381
355.000000	-0.045407
356.000000	-0.047823
357.000000	-0.051205
358.000000	-0.053942
359.000000	-0.057163
360.000000	-0.060545
361.000000	-0.064571
362.000000	-0.065699
363.000000	-0.068114
364.000000	-0.071013
365.000000	-0.073107
366.000000	-0.077294
367.000000	-0.079710
368.000000	-0.080837
369.000000	-0.086474
370.000000	-0.091949
371.000000	-0.090500
372.000000	-0.092916
373.000000	-0.096620
374.000000	-0.100485
375.000000	-0.104350
