nu,[0]CO2-HITRAN:X=0.2-T=296K-P=1atm-L=4000cm
6360.51,0.054428247046174584
6360.513,0.05424604917713763
6360.516,0.05407182591576869
6360.519,0.05390561805535194
6360.522,0.053747454130393196
6360.525,0.05359735094281983
6360.528,0.053455314343133165
6360.531,0.05332134022715196
6360.534,0.05319541571289329
6360.537,0.05307752046540256
6360.54,0.05296762813979439
6360.543,0.05286570791447524
6360.546,0.0527717260877414
6360.549,0.0526856477120049
6360.552,0.0526074382410512
6360.555,0.05253706516711232
6360.558,0.05247449962602436
6360.561,0.052419717950075065
6360.564,0.05237270314893842
6360.567,0.05233344629906598
6360.57,0.05230194782097715
6360.573,0.05227821862239861
6360.576,0.05226228108382103
6360.579,0.052254169862772856
6360.582,0.05225393249499831
6360.585,0.05226162977556322
6360.588,0.052277335911053845
6360.591,0.052301138445063684
6360.594,0.05233313797210258
6360.597,0.05237344766831346
6360.6,0.05242219267922016
6360.603,0.052479509413502864
6360.606,0.052545544796366465
6360.609,0.05262045553593789
6360.612,0.05270440745150078
6360.615,0.05279757490412091
6360.618,0.05290014035954343
6360.621,0.05301229410156703
6360.624,0.05313423410270787
6360.627,0.05326616604889031
6360.63,0.053408303506787935
6360.633,0.0535608682165668
6360.636,0.05372409048909033
6360.639,0.053898209684826705
6360.642,0.05408347475133733
6360.645,0.05428014479681777
6360.648,0.05448848967827615
6360.651,0.0547087905842098
6360.654,0.05494134059275408
6360.657,0.055186445187085965
6360.66,0.0554444227102081
6360.663,0.055715604741061346
6360.666,0.056000336373158995
6360.669,0.056298976375570874
6360.672,0.05661189721407415
6360.675,0.05693948490759529
6360.678,0.057282138691674964
6360.681,0.05764027045657416
6360.684,0.0580143039228164
6360.687,0.05840467351144843
6360.69,0.058811822860148
6360.693,0.05923620292956388
6360.696,0.05967826963707819
6360.699,0.06013848094760714
6360.702,0.060617293343344855
6360.705,0.061115157586732125
6360.708,0.06163251368371787
6360.711,0.06216978494808347
6360.714,0.06272737106275522
6360.717,0.06330564003143983
6360.72,0.06390491891452271
6360.723,0.06452548324816787
6360.726,0.06516754505636149
6360.729,0.06583123938396178
6360.732,0.06651660930654646
6360.735,0.06722358941214357
6360.738,0.06795198780301201
6360.741,0.06870146673472494
6360.744,0.06947152209688164
6360.747,0.07026146204625822
6360.75,0.0710703852296117
6360.753,0.07189715917875585
6360.756,0.07274039962201727
6360.759,0.07359845162824155
6360.762,0.0744693736734362
6360.765,0.07535092588352882
6360.768,0.0762405638433026
6360.771,0.07713543945145383
6360.774,0.07803241032204274
6360.777,0.0789280591594548
6360.78,0.07981872434444238
6360.783,0.08070054264466783
6360.786,0.08156950449460715
6360.789,0.08242152167957972
6360.792,0.08325250652629781
6360.795,0.08405846088574981
6360.798,0.08483557235048604
6360.801,0.0855803143507314
6360.804,0.08628954610564779
6360.807,0.08696060795164862
6360.81,0.0875914074025819
6360.813,0.08818049146783491
6360.816,0.0887271012821043
6360.819,0.08923120596353054
6360.822,0.08969351375377785
6360.825,0.09011545980838664
6360.828,0.0904991713791538
6360.831,0.09084741243524902
6360.834,0.09116351088835235
6360.837,0.09145127242557191
6360.84,0.09171488545391684
6360.843,0.09195882180362085
6360.846,0.09218773764557103
6360.849,0.09240637860368582
6360.852,0.0926194923611709
6360.855,0.09283175125467918
6360.858,0.09304768650554553
6360.861,0.09327163492459392
6360.864,0.09350769820233609
6360.867,0.0937597142961966
6360.87,0.09403123996869099
6360.873,0.09432554321696339
6360.876,0.09464560415420185
6360.879,0.0949941228383969
6360.882,0.09537353257071995
6360.885,0.09578601728051377
6360.888,0.0962335317539465
6360.891,0.09671782362924346
6360.894,0.09724045625715129
6360.897,0.0978028316988925
6360.9,0.09840621329683832
6360.903,0.0990517474001449
6360.906,0.09974048395575458
6360.909,0.10047339578355513
6360.912,0.10125139644353637
6360.915,0.10207535667380009
6360.918,0.10294611943319593
6360.921,0.10386451362317542
6360.924,0.10483136659232907
6360.927,0.10584751554582897
6360.93,0.10691381799229036
6360.933,0.10803116136369172
6360.936,0.10920047194097968
6360.939,0.11042272320970117
6360.942,0.1116989437572007
6360.945,0.11303022480649232
6360.948,0.11441772746290298
6360.951,0.11586268972936237
6360.954,0.11736643332642831
6360.957,0.11893037033564675
6360.96,0.12055600967150489
6360.963,0.12224496337963293
6360.966,0.12399895275807059
6360.969,0.1258198143045692
6360.972,0.12770950550529708
6360.975,0.12967011049737348
6360.978,0.13170384565705368
6360.981,0.13381306518453323
6360.984,0.13600026677272492
6360.987,0.13826809745907898
6360.99,0.1406193597653382
6360.993,0.14305701822990152
6360.996,0.14558420643180892
6360.999,0.14820423459553908
6361.002,0.15092059785351003
6361.005,0.15373698523002907
6361.008,0.15665728939796925
6361.011,0.1596856172487386
6361.014,0.16282630130781992
6361.017,0.16608391202252945
6361.02,0.16946327094551764
6361.023,0.17296946483659356
6361.026,0.17660786070607046
6361.029,0.18038412182452843
6361.032,0.18430422472599095
6361.035,0.1883744772335815
6361.038,0.19260153753821666
6361.041,0.1969924343615025
6361.044,0.20155458823334918
6361.047,0.20629583391262496
6361.05,0.21122444397522347
6361.053,0.21634915358788798
6361.056,0.22167918647785287
6361.059,0.22722428209750847
6361.062,0.23299472396956983
6361.065,0.23900136918140588
6361.068,0.2452556789768019
6361.071,0.25176975036929855
6361.074,0.25855634867284494
6361.077,0.26562894081257615
6361.08,0.27300172924057187
6361.083,0.2806896862380317
6361.086,0.28870858833584756
6361.089,0.2970750505292075
6361.092,0.30580655989760774
6361.095,0.314921508167663
6361.098,0.32443922266993874
6361.101,0.33437999503885135
6361.104,0.34476510688092504
6361.107,0.3556168514835744
6361.11,0.36695855044336706
6361.113,0.37881456384543416
6361.116,0.39121029230671167
6361.119,0.40417216878430023
6361.122,0.41772763752311654
6361.125,0.4319051168506266
6361.128,0.4467339416995629
6361.131,0.4622442807372595
6361.134,0.4784670217986964
6361.137,0.4954336179713254
6361.14,0.5131758851947725
6361.143,0.5317257406711996
6361.146,0.5511148698085336
6361.149,0.5713743079348556
6361.152,0.5925339217403531
6361.155,0.6146217744474582
6361.158,0.637663358214625
6361.161,0.6616806773913778
6361.164,0.68669116712864
6361.167,0.7127064337092122
6361.17,0.7397308060474364
6361.173,0.7677596924254728
6361.176,0.7967777430639741
6361.179,0.8267568279999561
6361.182,0.8576538514186351
